# Time (s), Angle of Attack (°), Mach Number
3.401240,0.022250,0.845539
3.413194,0.022881,0.845447
3.423130,0.023331,0.845357
3.433067,0.023715,0.845257
3.443004,0.023965,0.845144
3.452940,0.024088,0.845019
3.462877,0.024254,0.844880
3.472814,0.024375,0.844730
3.484291,0.025025,0.844541
3.495769,0.026107,0.844337
3.507247,0.026949,0.844116
3.518724,0.027478,0.843878
3.530202,0.027463,0.843624
3.541680,0.027914,0.843354
3.553158,0.029033,0.843068
3.564635,0.030068,0.842766
3.576113,0.030072,0.842448
3.587591,0.030137,0.842113
3.599068,0.030651,0.841763
3.610546,0.031236,0.841396
3.622024,0.031669,0.841013
3.633502,0.031885,0.840615
3.644979,0.032275,0.840200
3.656457,0.032959,0.839770
3.667935,0.033615,0.839323
3.679412,0.033619,0.838861
3.690890,0.033675,0.838382
3.702368,0.034380,0.837888
3.713846,0.035193,0.837378
3.726574,0.035962,0.836794
3.739301,0.036050,0.836191
3.752029,0.036526,0.835568
3.764757,0.037759,0.834926
3.777485,0.039023,0.834264
3.790213,0.039140,0.833583
3.802941,0.039343,0.832883
3.815669,0.040363,0.832164
3.828397,0.041374,0.831426
3.841125,0.042044,0.830668
3.853853,0.042639,0.829891
3.866580,0.043181,0.829095
3.879308,0.043698,0.828280
3.892036,0.044376,0.827446
3.904764,0.045081,0.826596
3.917492,0.045422,0.825740
3.930220,0.045766,0.824886
3.942948,0.046540,0.824036
3.957113,0.047814,0.823092
3.971278,0.048848,0.822150
3.985443,0.049524,0.821208
3.999608,0.050250,0.820269
4.013773,0.051217,0.819332
4.027939,0.052229,0.818398
4.042104,0.053112,0.817466
4.056269,0.053908,0.816536
4.070434,0.054713,0.815608
4.084599,0.055532,0.814682
4.098764,0.056336,0.813758
4.112929,0.057132,0.812836
4.127094,0.057934,0.811917
4.141260,0.058727,0.810999
4.155425,0.059493,0.810083
4.169590,0.060238,0.809170
4.183755,0.060977,0.808258
4.197920,0.061712,0.807349
4.212085,0.062436,0.806441
4.226250,0.063147,0.805536
4.240415,0.063846,0.804632
4.254580,0.064537,0.803730
4.268746,0.065220,0.802831
4.282911,0.065895,0.801933
4.297076,0.066560,0.801037
4.311241,0.067215,0.800144
4.325406,0.067856,0.799251
4.339571,0.068497,0.798361
4.353736,0.069131,0.797471
4.367901,0.069742,0.796582
4.382066,0.070338,0.795695
4.396232,0.070928,0.794809
4.410397,0.071511,0.793924
4.424562,0.072083,0.793040
4.438727,0.072648,0.792158
4.452892,0.073208,0.791277
4.467057,0.073763,0.790396
4.481222,0.074311,0.789518
4.495387,0.074853,0.788640
4.509553,0.075390,0.787763
4.523718,0.075922,0.786888
4.537883,0.076449,0.786013
4.552048,0.076972,0.785140
4.566213,0.077490,0.784268
4.580378,0.078002,0.783398
4.594543,0.078510,0.782528
4.608708,0.079014,0.781659
4.622873,0.079513,0.780792
4.637039,0.080007,0.779926
4.651204,0.080497,0.779061
4.665369,0.080983,0.778197
4.679534,0.081465,0.777334
4.693699,0.081940,0.776472
4.707864,0.082410,0.775612
4.722029,0.082876,0.774752
4.736194,0.083338,0.773894
4.750360,0.083795,0.773037
4.764525,0.084247,0.772181
4.778690,0.084693,0.771326
4.792855,0.085135,0.770472
4.807020,0.085572,0.769619
4.821185,0.086005,0.768768
4.835350,0.086433,0.767917
4.849515,0.086857,0.767068
4.863680,0.087276,0.766219
4.877846,0.087693,0.765372
4.892011,0.088105,0.764526
