# Time (s), Angle of Attack (°), Mach Number
19.004988,0.576280,0.204175
19.049128,0.581086,0.202849
19.093268,0.585981,0.201525
19.137409,0.590968,0.200203
19.181549,0.596051,0.198883
19.225689,0.601234,0.197564
19.269830,0.606521,0.196247
19.313970,0.611915,0.194932
19.362994,0.618127,0.193474
19.412019,0.624562,0.192018
19.461043,0.631160,0.190564
19.510068,0.637887,0.189112
19.559092,0.644762,0.187663
19.608117,0.651813,0.186216
19.657141,0.659049,0.184771
19.706165,0.666471,0.183329
19.755190,0.674083,0.181889
19.804214,0.681901,0.180452
19.853239,0.689940,0.179017
19.902263,0.698207,0.177584
19.951288,0.706712,0.176154
20.000312,0.715465,0.174727
20.049337,0.724479,0.173302
20.098361,0.733767,0.171879
20.147385,0.743343,0.170459
20.196410,0.753221,0.169042
20.245434,0.763416,0.167628
20.294459,0.773945,0.166216
20.343483,0.784823,0.164807
20.392508,0.796069,0.163401
20.441532,0.807702,0.161997
20.490557,0.819741,0.160597
20.546640,0.834139,0.158998
20.602724,0.849223,0.157403
20.658808,0.864951,0.155813
20.714892,0.881307,0.154226
20.770976,0.898339,0.152643
20.827060,0.916128,0.151065
20.883144,0.934724,0.149490
20.939227,0.954158,0.147921
20.995311,0.974473,0.146355
21.051395,0.995726,0.144794
21.107479,1.017977,0.143238
21.163563,1.041283,0.141687
21.219647,1.065705,0.140140
21.275731,1.091311,0.138599
21.331814,1.118173,0.137062
21.395262,1.150267,0.135330
21.458710,1.184264,0.133605
21.522158,1.220207,0.131887
21.585605,1.258177,0.130177
21.649053,1.298323,0.128474
21.712501,1.340812,0.126778
21.775948,1.385803,0.125091
21.839396,1.433443,0.123412
21.902844,1.483902,0.121742
21.966292,1.537368,0.120080
22.029739,1.594052,0.118428
22.093187,1.654156,0.116785
22.156635,1.717881,0.115152
22.220082,1.785450,0.113529
22.283530,1.857099,0.111916
22.346978,1.933075,0.110315
22.410426,2.013633,0.108725
22.473873,2.099047,0.107146
22.537321,2.189602,0.105580
22.600769,2.285594,0.104027
22.664216,2.387330,0.102487
22.734484,2.507128,0.100797
22.804751,2.634849,0.099125
22.875019,2.770936,0.097472
22.945286,2.915850,0.095838
23.015554,3.070090,0.094225
23.085821,3.234173,0.092632
23.164513,3.430300,0.090876
23.243204,3.640216,0.089149
23.321895,3.864608,0.087452
23.400586,4.104165,0.085789
23.479278,4.359597,0.084160
23.557969,4.631584,0.082568
23.636660,4.920731,0.081015
23.715351,5.227548,0.079502
23.794043,5.552455,0.078031
23.872734,5.895753,0.076607
23.951425,6.257582,0.075229
24.030117,6.637885,0.073902
24.119713,7.093033,0.072456
24.209310,7.570930,0.071082
24.298907,8.070164,0.069784
24.388504,8.588687,0.068567
24.478101,9.123761,0.067435
24.567698,9.671891,0.066391
24.657295,10.228755,0.065441
24.746892,10.789129,0.064587
24.836489,11.346868,0.063833
24.926086,11.894921,0.063184
25.015683,12.425378,0.062641
25.105280,12.929578,0.062208
25.194877,13.398175,0.061886
25.284474,13.821304,0.061677
25.374070,14.188799,0.061582
25.380265,14.211890,0.061580
25.380952,14.214433,0.061580
25.382463,14.220597,0.061579
25.383974,14.226743,0.061579
25.386996,14.237798,0.061578
25.390018,14.248776,0.061577
25.393040,14.259677,0.061577
25.423259,14.364358,0.061579
25.453479,14.460891,0.061594
25.483698,14.548902,0.061622
25.513917,14.628011,0.061663
25.599377,14.800320,0.061849
25.684836,14.890588,0.062137
25.770296,14.890918,0.062526
25.855756,14.794868,0.063015
25.941215,14.596852,0.063600
26.040376,14.233575,0.064398
26.139537,13.722588,0.065317
26.238697,13.062166,0.066355
26.337858,12.253764,0.067504
26.437019,11.302517,0.068761
26.495634,10.676757,0.069552
26.554250,10.007251,0.070377
26.612865,9.297737,0.071236
26.671480,8.553121,0.072126
26.730096,7.779895,0.073048
26.782609,7.070049,0.073899
26.835122,6.353082,0.074773
26.880952,5.731183,0.075554
26.895487,5.896509,0.075227
26.910021,6.063946,0.074905
26.939089,6.405746,0.074273
26.968157,6.754405,0.073662
26.997226,7.109029,0.073069
27.142638,8.948784,0.070380
27.288049,10.857288,0.068093
27.433461,12.797334,0.066150
27.578873,14.744653,0.064502
27.798734,17.664904,0.062482
28.018596,20.516583,0.060929
28.238457,23.267063,0.059753
28.458318,25.894001,0.058876
28.678179,28.382718,0.058238
29.056406,32.319390,0.057561
29.434632,35.814643,0.057254
29.812858,38.888312,0.057179
30.191085,41.573214,0.057243
30.569311,43.908971,0.057382
30.947537,45.936289,0.057555
31.547465,48.612514,0.057837
32.147392,50.744516,0.058087
32.747319,52.443273,0.058285
33.347247,53.797947,0.058430
33.947174,54.879277,0.058529
34.584956,55.791414,0.058594
35.222738,56.510358,0.058626
35.860521,57.077352,0.058634
36.498303,57.524686,0.058626
37.136085,57.877705,0.058606
38.152973,58.293473,0.058557
39.169861,58.578446,0.058497
40.186750,58.773836,0.058430
41.203638,58.907899,0.058361
42.220526,58.999830,0.058290
43.446213,59.072964,0.058204
44.671901,59.119398,0.058117
45.897588,59.149072,0.058031
47.123275,59.167881,0.057944
47.896272,59.176048,0.057890
48.669269,59.182122,0.057836
49.442266,59.186664,0.057781
50.213173,59.190059,0.057727
50.984081,59.192604,0.057673
51.754988,59.194512,0.057620
53.295771,59.197023,0.057512
54.836555,59.198383,0.057406
56.377339,59.199148,0.057299
57.914525,59.199596,0.057194
59.451711,59.199858,0.057088
60.988897,59.200007,0.056984
62.523581,59.200092,0.056879
64.058265,59.200141,0.056776
65.592949,59.200169,0.056672
67.810409,59.200189,0.056523
70.027869,59.200196,0.056376
72.245329,59.200200,0.056228
79.698220,59.200202,0.055741
81.561443,59.200202,0.055620
83.424666,59.200202,0.055500
87.151111,59.200202,0.055261
90.877557,59.200202,0.055024
94.604003,59.200201,0.054790
101.315255,59.200199,0.054373
108.026506,59.200198,0.053963
114.737758,59.200197,0.053559
121.449010,59.200195,0.053163
132.719112,59.200193,0.052511
143.989214,59.200191,0.051876
155.259316,59.200189,0.051259
159.190476,59.200189,0.051047
159.291503,59.200189,0.051041
159.392529,59.200189,0.051036
160.690476,59.200189,0.050966
160.692253,59.200189,0.050653
160.694031,59.200189,0.050345
160.697585,59.200189,0.049735
160.701140,59.200189,0.049143
160.704694,59.200188,0.048565
160.722023,59.200188,0.045957
160.739351,59.200188,0.043647
160.756680,59.200187,0.041589
160.774008,59.200186,0.039746
160.800117,59.200184,0.037307
160.826225,59.200182,0.035206
160.852333,59.200180,0.033380
160.878441,59.200177,0.031782
160.904549,59.200174,0.030375
160.950166,59.200167,0.028287
160.995783,59.200160,0.026573
161.041400,59.200152,0.025149
161.087017,59.200143,0.023954
161.132634,59.200134,0.022943
161.178251,59.200124,0.022082
161.252556,59.200108,0.020932
161.326861,59.200091,0.020026
161.401166,59.200075,0.019304
161.475471,59.200058,0.018724
161.549776,59.200042,0.018255
161.624082,59.200027,0.017874
161.744749,59.200003,0.017397
161.865417,59.199981,0.017052
161.986084,59.199962,0.016799
162.106752,59.199944,0.016614
162.227420,59.199928,0.016477
162.396808,59.199910,0.016344
162.566197,59.199894,0.016256
162.735586,59.199881,0.016197
162.904975,59.199871,0.016159
163.125199,59.199860,0.016127
163.345424,59.199851,0.016108
163.565648,59.199845,0.016097
163.785873,59.199840,0.016090
164.019143,59.199836,0.016085
164.252412,59.199833,0.016082
164.485682,59.199831,0.016079
164.719469,59.199829,0.016077
164.953255,59.199828,0.016076
165.187041,59.199827,0.016074
165.420862,59.199826,0.016073
165.654683,59.199825,0.016072
166.976561,59.199824,0.016065
168.298438,59.199823,0.016058
169.620316,59.199824,0.016051
173.683998,59.199824,0.016029
177.747680,59.199824,0.016008
181.811362,59.199823,0.015986
199.032355,59.199823,0.015896
216.253348,59.199823,0.015807
233.474341,59.199823,0.015718
261.955812,59.199822,0.015574
290.437284,59.199822,0.015433
306.328375,59.199822,0.015355
